	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
Number of genes	19835	27698	26730	27689	28378	30425	27686	19829	20054	20607	19403	19896	19034
Number of genes in orthogroups	19641	27189	23953	24620	27795	29500	27168	19347	19784	20103	19232	19116	18925
Number of unassigned genes	194	509	2777	3069	583	925	518	482	270	504	171	780	109
Percentage of genes in orthogroups	99.0	98.2	89.6	88.9	97.9	97.0	98.1	97.6	98.7	97.6	99.1	96.1	99.4
Percentage of unassigned genes	1.0	1.8	10.4	11.1	2.1	3.0	1.9	2.4	1.3	2.4	0.9	3.9	0.6
Number of orthogroups containing species	16830	24016	20110	20418	24100	23751	24001	16693	17013	16413	16717	16771	16077
Percentage of orthogroups containing species	59.8	85.3	71.4	72.5	85.6	84.4	85.3	59.3	60.4	58.3	59.4	59.6	57.1
Number of species-specific orthogroups	19	10	83	121	18	70	11	79	94	77	99	28	23
Number of genes in species-specific orthogroups	71	26	192	315	52	720	31	172	219	185	221	85	107
Percentage of genes in species-specific orthogroups	0.4	0.1	0.7	1.1	0.2	2.4	0.1	0.9	1.1	0.9	1.1	0.4	0.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	11317	4131	8037	7729	4047	4396	4146	11454	11134	11734	11430	11376	12070
'1	15598	22786	17866	18125	22787	22101	22735	15154	15752	14242	15263	15448	14816
'2	894	832	1675	1649	846	1077	867	1180	875	1738	1113	1048	921
'3	140	191	305	341	218	223	195	190	180	239	170	153	128
'4	65	79	103	118	77	83	71	88	84	75	81	45	55
'5	26	36	45	54	51	62	43	25	35	22	23	18	36
'6	21	22	35	30	29	43	23	12	15	15	17	11	22
'7	12	12	25	23	21	16	13	6	14	18	8	8	17
'8	14	12	12	21	12	25	10	4	9	7	8	12	14
'9	7	6	5	15	8	13	7	7	9	11	6	8	10
'10	10	6	6	3	7	11	3	4	3	12	5	2	8
11-15	13	14	18	22	20	46	16	7	17	11	11	8	29
16-20	10	4	8	6	7	7	2	5	3	10	4	2	6
21-50	19	8	6	9	8	24	8	9	15	12	7	6	14
51-100	1	5	1	2	5	13	7	2	2	1	1	1	1
101-150	0	2	0	0	3	6	0	0	0	0	0	1	0
151-200	0	1	0	0	1	0	1	0	0	0	0	0	0
201-500	0	0	0	0	0	1	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	40.2	14.7	28.6	27.5	14.4	15.6	14.7	40.7	39.6	41.7	40.6	40.4	42.9
'1	55.4	81.0	63.5	64.4	81.0	78.5	80.8	53.8	56.0	50.6	54.2	54.9	52.6
'2	3.2	3.0	6.0	5.9	3.0	3.8	3.1	4.2	3.1	6.2	4.0	3.7	3.3
'3	0.5	0.7	1.1	1.2	0.8	0.8	0.7	0.7	0.6	0.8	0.6	0.5	0.5
'4	0.2	0.3	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2
'5	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1
'6	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.1
'7	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1
'8	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.1	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	15598	22786	17866	18125	22787	22101	22735	15154	15752	14242	15263	15448	14816
'2	1788	1664	3350	3298	1692	2154	1734	2360	1750	3476	2226	2096	1842
'3	420	573	915	1023	654	669	585	570	540	717	510	459	384
'4	260	316	412	472	308	332	284	352	336	300	324	180	220
'5	130	180	225	270	255	310	215	125	175	110	115	90	180
'6	126	132	210	180	174	258	138	72	90	90	102	66	132
'7	84	84	175	161	147	112	91	42	98	126	56	56	119
'8	112	96	96	168	96	200	80	32	72	56	64	96	112
'9	63	54	45	135	72	117	63	63	81	99	54	72	90
'10	100	60	60	30	70	110	30	40	30	120	50	20	80
11-15	157	172	225	275	243	583	194	84	202	146	138	95	359
16-20	177	66	146	108	120	125	34	84	55	176	72	35	110
21-50	548	282	169	252	340	665	288	243	486	388	203	185	426
51-100	78	333	59	123	349	850	526	126	117	57	55	71	55
101-150	0	211	0	0	311	704	0	0	0	0	0	147	0
151-200	0	180	0	0	177	0	171	0	0	0	0	0	0
201-500	0	0	0	0	0	210	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	78.6	82.3	66.8	65.5	80.3	72.6	82.1	76.4	78.5	69.1	78.7	77.6	77.8
'2	9.0	6.0	12.5	11.9	6.0	7.1	6.3	11.9	8.7	16.9	11.5	10.5	9.7
'3	2.1	2.1	3.4	3.7	2.3	2.2	2.1	2.9	2.7	3.5	2.6	2.3	2.0
'4	1.3	1.1	1.5	1.7	1.1	1.1	1.0	1.8	1.7	1.5	1.7	0.9	1.2
'5	0.7	0.6	0.8	1.0	0.9	1.0	0.8	0.6	0.9	0.5	0.6	0.5	0.9
'6	0.6	0.5	0.8	0.7	0.6	0.8	0.5	0.4	0.4	0.4	0.5	0.3	0.7
'7	0.4	0.3	0.7	0.6	0.5	0.4	0.3	0.2	0.5	0.6	0.3	0.3	0.6
'8	0.6	0.3	0.4	0.6	0.3	0.7	0.3	0.2	0.4	0.3	0.3	0.5	0.6
'9	0.3	0.2	0.2	0.5	0.3	0.4	0.2	0.3	0.4	0.5	0.3	0.4	0.5
'10	0.5	0.2	0.2	0.1	0.2	0.4	0.1	0.2	0.1	0.6	0.3	0.1	0.4
11-15	0.8	0.6	0.8	1.0	0.9	1.9	0.7	0.4	1.0	0.7	0.7	0.5	1.9
16-20	0.9	0.2	0.5	0.4	0.4	0.4	0.1	0.4	0.3	0.9	0.4	0.2	0.6
21-50	2.8	1.0	0.6	0.9	1.2	2.2	1.0	1.2	2.4	1.9	1.0	0.9	2.2
51-100	0.4	1.2	0.2	0.4	1.2	2.8	1.9	0.6	0.6	0.3	0.3	0.4	0.3
101-150	0.0	0.8	0.0	0.0	1.1	2.3	0.0	0.0	0.0	0.0	0.0	0.7	0.0
151-200	0.0	0.6	0.0	0.0	0.6	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
